Subject,Predicate,Object
Steve_Jobs,Known for,"Pioneer of the personal computer revolution with Steve Wozniak, Co-creator of the Macintosh, iPod, iPhone, iPad, and first Apple Stores"
Steve_Jobs,Net worth,US$7 billion (September 2011)[1]
Steve_Jobs,Title,"Co-founder, Chairman, and CEO of Apple Inc., Primary investor and Chairman of Pixar, Founder, Chairman, and CEO of NeXT"
Steve_Jobs,Board member of,"The Walt Disney Company[2], Apple Inc."
Steve_Jobs,Partner(s),Chrisann Brennan (1972–1977)
Steve_Jobs,Children,"4, including Lisa Brennan-Jobs"
Steve_Jobs,Relatives,Mona Simpson (sister)
Steve_Jobs,Preceded by,Gil Amelio
Steve_Jobs,Succeeded by,Tim Cook
Sundar_Pichai,Born,"Pichai Sundararajan (1972-07-12) July 12, 1972 (age 48)Chennai, Tamil Nadu, India"
Sundar_Pichai,Citizenship,United States[1]
Sundar_Pichai,Education,IIT Kharagpur (BTech)Stanford University (MS)University of Pennsylvania (MBA)
Sundar_Pichai,Title,CEO of Alphabet and Google
Sundar_Pichai,Board member of,Alphabet Inc.[2]Magic Leap[3]
Sundar_Pichai,Spouse(s),Anjali Pichai
Sundar_Pichai,Children,2
Mark_Zuckerberg,Born,"Mark Elliot Zuckerberg (1984-05-14) May 14, 1984 (age 36)White Plains, New York, U.S."
Mark_Zuckerberg,Education,Harvard University (no degree)
Mark_Zuckerberg,Occupation,Internet entrepreneurphilanthropistmedia mogul
Mark_Zuckerberg,Years active,2004–present
Mark_Zuckerberg,Known for,"Co-founding and leading Facebook, Inc."
Mark_Zuckerberg,Net worth, US$ 90 billion (as of January 2021)[1]
Mark_Zuckerberg,Title,"Founder and CEO of Facebook, Inc., Co-founder and co-CEO of Chan Zuckerberg Initiative[2]"
Mark_Zuckerberg,Children,2
Mark_Zuckerberg,Relatives,Randi Zuckerberg (sister)Donna Zuckerberg (sister)
Mark_Zuckerberg,Website,facebook.com/zuck
Bill_Gates,Born,"William Henry Gates III (1955-10-28) October 28, 1955 (age 65)Seattle, Washington, U.S."
Bill_Gates,Education,Harvard University (dropped out)
Bill_Gates,Occupation,Software developerinvestorentrepreneur
Bill_Gates,Years active,1975–present
Bill_Gates,Known for,Co-founding Microsoft
Bill_Gates,Net worth,US$122.4 billion (February 2021)[1]
Bill_Gates,Title,"Co-chairman and co-founder of the Bill & Melinda Gates Foundation, Chairman and founder of Branded Entertainment Network, Chairman and co-founder of TerraPower, Chairman and founder of Cascade Investment, Technology advisor of Microsoft"
Bill_Gates,Children,3
Bill_Gates,Parent(s),Bill Gates Sr.Mary Maxwell
Bill_Gates,Website,www.gatesnotes.com
The_Weeknd,Born,"Abel Makkonen Tesfaye (1990-02-16) February 16, 1990 (age 30)Toronto, Ontario, Canada"
The_Weeknd,Occupation,Singersongwriterrecord producer
The_Weeknd,Years active,2010–present
The_Weeknd,Awards,Full list
The_Weeknd,Genres,"R&B, pop, alternative R&B"
The_Weeknd,Labels,"XO, Republic"
The_Weeknd,Associated acts,"Belly, Daft Punk, DaHeala, Drake, Doc McKinney, Illangelo, Lana Del Rey, Lil Uzi Vert, Nav"
The_Weeknd,Website,theweeknd.com
